fill/plain : pid 98116, running 240s
grid 178x63
[2026-08-28T13:21:14Z INFO  alacritree::grid_gl] grid gl: Intel | Intel(R) Arc(TM) 140T GPU (32GB) | 3.3.0 - Build 32.0.101.8517
[2026-08-28T13:21:18Z INFO  alacritree::gpu_timing] gpu grid [fill gated], 240 frames: submit 205us  skipped 240/240  total 274us/119  frame 408us/118  upload 0us/119  backgrounds 26us/119  glyphs 247us/119  decorations -  grid 178x63
[2026-08-28T13:21:19Z INFO  alacritree::gpu_timing] gpu grid [fill always], 240 frames: submit 300us  skipped 240/240  total 453us/119  frame 708us/118  upload 0us/119  backgrounds 50us/119  glyphs 403us/119  decorations -  grid 178x63
[2026-08-28T13:21:20Z INFO  alacritree::gpu_timing] gpu grid [fill gated], 240 frames: submit 318us  skipped 240/240  total 455us/119  frame 710us/118  upload 0us/119  backgrounds 50us/119  glyphs 405us/119  decorations -  grid 178x63
[2026-08-28T13:21:21Z INFO  alacritree::gpu_timing] gpu grid [fill always], 240 frames: submit 274us  skipped 240/240  total 451us/119  frame 706us/118  upload 0us/119  backgrounds 50us/119  glyphs 401us/119  decorations -  grid 178x63
[2026-08-28T13:21:23Z INFO  alacritree::gpu_timing] gpu grid [fill gated], 240 frames: submit 300us  skipped 240/240  total 455us/119  frame 713us/118  upload 0us/119  backgrounds 50us/119  glyphs 405us/119  decorations -  grid 178x63
[2026-08-28T13:21:24Z INFO  alacritree::gpu_timing] gpu grid [fill always], 240 frames: submit 288us  skipped 240/240  total 456us/119  frame 711us/118  upload 0us/119  backgrounds 50us/119  glyphs 406us/119  decorations -  grid 178x63
[2026-08-28T13:21:25Z INFO  alacritree::gpu_timing] gpu grid [fill gated], 240 frames: submit 327us  skipped 240/240  total 459us/119  frame 718us/118  upload 0us/119  backgrounds 50us/119  glyphs 409us/119  decorations -  grid 178x63
[2026-08-28T13:21:27Z INFO  alacritree::gpu_timing] gpu grid [fill always], 240 frames: submit 359us  skipped 240/240  total 461us/119  frame 720us/118  upload 0us/119  backgrounds 50us/119  glyphs 410us/119  decorations -  grid 178x63
