decorations/percellbg/20pt : pid 61468, running 240s
grid 107x37
[2026-08-28T14:24:03Z INFO  alacritree::grid_gl] grid gl: Intel | Intel(R) Arc(TM) 140T GPU (32GB) | 3.3.0 - Build 32.0.101.8517
[2026-08-28T14:24:07Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 114us  skipped 240/240  total 311us/119  frame 425us/118  upload 0us/119  backgrounds 155us/119  glyphs 154us/119  decorations -  grid 107x37
[2026-08-28T14:24:08Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 115us  skipped 0/240  total 266us/119  frame 360us/118  upload 0us/119  backgrounds 115us/119  glyphs 140us/119  decorations 7us/119  grid 107x37
[2026-08-28T14:24:08Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 125us  skipped 240/240  total 240us/119  frame 335us/118  upload 0us/119  backgrounds 106us/119  glyphs 135us/119  decorations -  grid 107x37
[2026-08-28T14:24:09Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 100us  skipped 0/240  total 243us/119  frame 328us/118  upload 0us/119  backgrounds 104us/119  glyphs 131us/119  decorations 6us/119  grid 107x37
[2026-08-28T14:24:09Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 88us  skipped 240/240  total 237us/119  frame 327us/118  upload 0us/119  backgrounds 104us/119  glyphs 132us/119  decorations -  grid 107x37
[2026-08-28T14:24:10Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 95us  skipped 0/240  total 240us/119  frame 326us/118  upload 0us/119  backgrounds 102us/119  glyphs 131us/119  decorations 6us/119  grid 107x37
[2026-08-28T14:24:10Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 90us  skipped 240/240  total 231us/119  frame 324us/118  upload 0us/119  backgrounds 101us/119  glyphs 130us/119  decorations -  grid 107x37
[2026-08-28T14:24:11Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 109us  skipped 0/240  total 240us/119  frame 327us/118  upload 0us/119  backgrounds 102us/119  glyphs 132us/119  decorations 6us/119  grid 107x37
